,City,Country,Latitude,Longitude,Max Temperature(F),Humidity,Cloudiness,Wind Speed(mph),Date
48,kazachinskoye,RU,57.69,93.28,263.37,95.0,43.0,43.0,1578320888
49,provideniya,RU,64.42,-173.23,250.17,84.0,100.0,100.0,1578320888
50,cravo norte,CO,6.3,-70.2,303.03,51.0,31.0,31.0,1578320665
51,vaini,IN,15.34,74.49,297.15,69.0,40.0,40.0,1578320888
52,souillac,FR,45.6,-0.6,281.15,75.0,20.0,20.0,1578320729
53,orotukan,RU,62.26,151.67,247.63,87.0,0.0,0.0,1578320888
54,chandil,IN,22.96,86.05,290.71,44.0,0.0,0.0,1578320665
55,nanga eboko,CM,4.68,12.37,308.26,17.0,66.0,66.0,1578320665
56,ayagoz,KZ,47.96,80.43,257.95,82.0,0.0,0.0,1578320888
57,geraldton,CA,49.72,-86.95,260.15,78.0,90.0,90.0,1578320888
58,hilo,US,19.71,-155.08,299.15,61.0,90.0,90.0,1578320888
59,apollonia,GR,40.64,23.49,282.59,45.0,79.0,79.0,1578320888
60,port elizabeth,US,39.31,-74.98,278.71,60.0,90.0,90.0,1578320666
61,ostrovnoy,RU,68.05,39.51,265.36,92.0,100.0,100.0,1578320830
62,albany,US,42.65,-73.75,273.15,86.0,90.0,90.0,1578320889
63,illoqqortoormiut,,,,,,,,
64,maceio,BR,-9.67,-35.74,303.15,62.0,75.0,75.0,1578320889
65,mergui,,,,,,,,
66,nizhneyansk,,,,,,,,
67,saskylakh,RU,71.97,114.09,252.55,96.0,100.0,100.0,1578320686
68,tuktoyaktuk,CA,69.44,-133.03,241.15,74.0,75.0,75.0,1578320889
69,belushya guba,,,,,,,,
70,campana,AR,-34.16,-58.96,298.15,53.0,65.0,65.0,1578320889
71,terrace,CA,54.52,-128.61,271.15,92.0,90.0,90.0,1578320667
72,hithadhoo,MV,-0.6,73.08,301.81,73.0,100.0,100.0,1578320889
73,terme,TR,41.21,36.97,282.15,66.0,75.0,75.0,1578320889
74,kruisfontein,ZA,-34.0,24.73,291.94,84.0,100.0,100.0,1578320889
75,mahebourg,MU,-20.41,57.7,301.15,83.0,75.0,75.0,1578320890
76,san felipe,CL,-32.75,-70.73,295.37,99.0,100.0,100.0,1578320890
77,labrea,,,,,,,,
78,solano,CO,0.7,-75.25,303.28,51.0,56.0,56.0,1578320890
79,ihosy,MG,-22.4,46.13,296.2,76.0,46.0,46.0,1578320667
80,sangar,RU,63.92,127.47,253.92,91.0,100.0,100.0,1578320667
81,punta arenas,CL,-53.16,-70.91,284.15,76.0,75.0,75.0,1578320667
82,attawapiskat,,,,,,,,
83,cherskiy,RU,68.75,161.3,247.76,65.0,0.0,0.0,1578320869
84,dongying,CN,37.43,118.67,277.49,90.0,100.0,100.0,1578320668
85,puerto ayora,EC,-0.74,-90.35,299.15,78.0,75.0,75.0,1578320728
86,kalengwa,ZM,-13.47,25.0,294.87,90.0,80.0,80.0,1578320890
87,tigre,AR,-34.42,-58.58,298.15,53.0,26.0,26.0,1578320890
88,aqtobe,KZ,50.28,57.21,270.15,86.0,90.0,90.0,1578320644
89,norman wells,CA,65.28,-126.83,233.15,65.0,20.0,20.0,1578320891
90,dongkan,CN,34.0,119.83,282.0,98.0,100.0,100.0,1578320668
91,quang ngai,VN,15.12,108.8,297.14,82.0,66.0,66.0,1578320891
92,bathsheba,BB,13.22,-59.52,302.15,62.0,75.0,75.0,1578320891
93,guane,CU,22.2,-84.09,294.42,61.0,0.0,0.0,1578320891
94,gamba,CN,28.28,88.52,264.84,27.0,100.0,100.0,1578320668
95,donskoye,RU,45.45,41.98,274.82,77.0,100.0,100.0,1578320891
96,airai,TL,-8.93,125.41,294.25,78.0,100.0,100.0,1578320669
97,tayu,JP,35.06,136.67,282.15,57.0,75.0,75.0,1578320891
98,zhigansk,RU,66.77,123.37,253.2,96.0,100.0,100.0,1578320891
99,saravena,CO,6.96,-71.88,303.07,38.0,12.0,12.0,1578320891
100,limon,US,39.26,-103.69,270.37,42.0,1.0,1.0,1578320891
101,egvekinot,RU,66.32,-179.17,248.17,74.0,0.0,0.0,1578320891
102,chowchilla,US,37.12,-120.26,280.37,100.0,90.0,90.0,1578320892
103,tasiilaq,GL,65.61,-37.64,265.34,84.0,97.0,97.0,1578320892
104,zhezkazgan,KZ,47.8,67.71,263.55,96.0,100.0,100.0,1578320669
105,east london,ZA,-33.02,27.91,298.15,73.0,40.0,40.0,1578320892
106,noybera,,,,,,,,
107,narsaq,GL,60.91,-46.05,257.15,34.0,5.0,5.0,1578320892
108,butaritari,KI,3.07,172.79,302.07,80.0,100.0,100.0,1578320670
109,abu samrah,SY,35.3,37.18,283.76,73.0,0.0,0.0,1578320892
110,carnarvon,ZA,-30.97,22.13,304.25,11.0,89.0,89.0,1578320892
111,saint-philippe,CA,45.36,-73.48,266.48,85.0,90.0,90.0,1578320670
112,ilulissat,GL,69.22,-51.1,255.15,64.0,75.0,75.0,1578320670
113,nanortalik,GL,60.14,-45.24,262.51,74.0,0.0,0.0,1578320892
114,dzhebariki-khaya,RU,62.22,135.8,255.7,97.0,100.0,100.0,1578320670
115,kodiak,US,39.95,-94.76,270.37,92.0,1.0,1.0,1578320860
116,san carlos de bariloche,AR,-41.13,-71.31,285.15,54.0,40.0,40.0,1578320670
117,saint george,GR,39.45,22.34,281.48,39.0,75.0,75.0,1578320893
118,meulaboh,ID,4.14,96.13,302.26,70.0,0.0,0.0,1578320893
119,cidreira,BR,-30.17,-50.22,297.11,84.0,0.0,0.0,1578320893
120,tete,MZ,-16.16,33.59,307.15,49.0,40.0,40.0,1578320671
121,paredon,BO,-18.93,-65.16,290.15,42.0,20.0,20.0,1578320893
122,sur,OM,22.57,59.53,296.76,62.0,0.0,0.0,1578320893
123,shingu,JP,33.72,135.99,282.02,56.0,2.0,2.0,1578320893
124,ekibastuz,KZ,51.72,75.32,262.13,84.0,45.0,45.0,1578320635
125,amderma,,,,,,,,
126,katsuura,JP,33.93,134.5,280.15,70.0,75.0,75.0,1578320893
127,shitkino,RU,56.37,98.35,268.37,94.0,99.0,99.0,1578320671
128,poum,MK,41.28,20.71,274.15,34.0,20.0,20.0,1578320671
129,alihe,CN,50.57,123.73,258.26,97.0,100.0,100.0,1578320894
130,amparai,,,,,,,,
131,general jose eduvigis diaz,PY,-27.17,-58.42,299.15,78.0,75.0,75.0,1578320894
132,bengkulu,,,,,,,,
133,sentyabrskiy,,,,,,,,
134,margate,AU,-43.03,147.26,288.15,87.0,100.0,100.0,1578320894
135,vila franca do campo,PT,37.72,-25.43,292.15,93.0,40.0,40.0,1578320894
136,jamsa,FI,61.86,25.19,273.71,92.0,90.0,90.0,1578320894
137,cairns,AU,-16.92,145.77,300.15,78.0,90.0,90.0,1578320894
138,fare,PF,-16.7,-151.02,300.65,76.0,20.0,20.0,1578320894
139,aklavik,CA,68.22,-135.01,243.15,74.0,75.0,75.0,1578320894
140,urmary,RU,55.68,47.94,271.15,92.0,90.0,90.0,1578320894
141,chokurdakh,RU,70.62,147.9,244.35,99.0,0.0,0.0,1578320895
142,alofi,NU,-19.06,-169.92,297.15,100.0,90.0,90.0,1578320673
143,antalaha,MG,-14.9,50.28,300.99,81.0,100.0,100.0,1578320895
144,vredendal,ZA,-31.68,18.49,298.22,38.0,100.0,100.0,1578320895
145,ust-ilimsk,RU,57.96,102.73,266.6,95.0,86.0,86.0,1578320673
146,sabzevar,IR,36.21,57.68,277.52,58.0,1.0,1.0,1578320673
147,rincon,PA,8.46,-82.28,300.15,78.0,100.0,100.0,1578320673
148,kirkwood,ZA,-33.4,25.44,297.15,78.0,75.0,75.0,1578320895
149,bejar,AL,40.49,19.83,275.04,50.0,0.0,0.0,1578320895
150,madang,CN,35.32,102.79,265.91,85.0,100.0,100.0,1578320673
151,avarua,CK,-21.21,-159.78,298.15,100.0,29.0,29.0,1578320895
152,hendijan,,,,,,,,
153,bredasdorp,ZA,-34.53,20.04,295.15,49.0,100.0,100.0,1578320816
154,boa vista,BR,2.82,-60.67,302.15,45.0,75.0,75.0,1578320896
155,dikson,RU,73.51,80.55,263.74,94.0,100.0,100.0,1578320674
156,cape town,ZA,-33.93,18.42,295.37,52.0,100.0,100.0,1578320780
157,bubaque,GW,11.28,-15.83,299.91,47.0,8.0,8.0,1578320896
158,waw,,,,,,,,
159,bandarbeyla,SO,9.49,50.81,299.63,81.0,7.0,7.0,1578320674
160,laguna,BZ,16.17,-88.94,295.15,73.0,90.0,90.0,1578320896
161,los llanos de aridane,ES,28.66,-17.92,293.15,64.0,75.0,75.0,1578320896
162,cheuskiny,,,,,,,,
163,khatanga,RU,71.98,102.47,259.71,86.0,88.0,88.0,1578320896
164,carutapera,BR,-1.2,-46.02,300.57,81.0,21.0,21.0,1578320674
165,tongliao,CN,43.61,122.27,261.6,94.0,65.0,65.0,1578320896
166,inhambane,MZ,-23.87,35.38,305.15,62.0,75.0,75.0,1578320896
167,te anau,NZ,-45.41,167.72,280.45,84.0,100.0,100.0,1578320674
168,namibe,AO,-15.19,12.15,301.15,69.0,40.0,40.0,1578320897
169,grand gaube,MU,-20.01,57.66,301.15,83.0,75.0,75.0,1578320897
170,mys shmidta,,,,,,,,
171,miri,NG,10.31,9.75,303.46,18.0,90.0,90.0,1578320675
172,constitucion,MX,23.99,-104.67,278.15,86.0,40.0,40.0,1578320897
173,kushima,JP,31.5,131.29,284.82,76.0,0.0,0.0,1578320897
174,mlimba,TZ,-8.78,35.81,301.52,82.0,93.0,93.0,1578320897
175,dunedin,NZ,-45.87,170.5,284.5,82.0,75.0,75.0,1578320675
176,bogorodskoye,RU,52.37,140.44,254.44,98.0,25.0,25.0,1578320897
177,vigrestad,NO,58.57,5.7,280.37,93.0,75.0,75.0,1578320897
178,leningradskiy,RU,69.38,178.42,251.04,73.0,0.0,0.0,1578320897
179,idlib,SY,35.93,36.64,282.15,76.0,75.0,75.0,1578320897
180,alyangula,AU,-13.85,136.42,300.15,94.0,87.0,87.0,1578320897
181,ballina,IE,54.11,-9.15,282.04,93.0,20.0,20.0,1578320897
182,kasangulu,CD,-4.59,15.17,306.15,55.0,75.0,75.0,1578321036
183,brownsville,US,25.91,-97.49,287.04,100.0,1.0,1.0,1578320793
184,salalah,OM,17.01,54.1,299.15,74.0,75.0,75.0,1578320919
185,taganak,PH,6.08,118.3,300.15,88.0,20.0,20.0,1578320676
186,evensk,RU,61.92,159.24,251.58,47.0,0.0,0.0,1578320919
187,port lincoln,AU,-34.72,135.86,290.26,69.0,0.0,0.0,1578320919
188,boddam,GB,57.47,-1.78,282.59,81.0,40.0,40.0,1578320919
189,hualmay,PE,-11.1,-77.61,298.79,56.0,38.0,38.0,1578320919
190,usinsk,RU,66.0,57.56,260.69,95.0,100.0,100.0,1578320676
191,blagoyevo,RU,63.37,47.92,258.15,95.0,66.0,66.0,1578320676
192,ancud,CL,-41.87,-73.83,285.15,81.0,75.0,75.0,1578320919
193,slawno,PL,52.84,16.56,275.93,100.0,90.0,90.0,1578320919
194,castro,CL,-42.48,-73.76,285.15,81.0,75.0,75.0,1578320919
195,thompson,CA,55.74,-97.86,253.15,83.0,75.0,75.0,1578320892
196,victoria,BN,5.28,115.24,301.15,78.0,75.0,75.0,1578320920
197,paamiut,GL,61.99,-49.67,257.94,83.0,100.0,100.0,1578320677
198,grand river south east,,,,,,,,
199,chiang khong,LA,20.27,100.41,295.15,83.0,20.0,20.0,1578320920
200,balayong,PH,15.95,120.35,295.73,83.0,14.0,14.0,1578320677
201,klaksvik,FO,62.23,-6.59,281.15,75.0,100.0,100.0,1578320920
202,georgetown,GY,6.8,-58.16,303.15,74.0,40.0,40.0,1578320891
203,atambua,ID,-9.11,124.89,297.77,87.0,100.0,100.0,1578320677
204,rawson,AR,-43.3,-65.11,287.94,60.0,23.0,23.0,1578320677
205,khandbari,NP,27.38,87.21,273.26,81.0,75.0,75.0,1578320920
206,batagay-alyta,RU,67.8,130.41,242.23,81.0,49.0,49.0,1578320920
207,vao,EE,59.1,26.19,275.19,98.0,100.0,100.0,1578320783
208,touros,BR,-5.2,-35.46,303.15,55.0,75.0,75.0,1578320920
209,taltal,CL,-25.41,-70.49,291.79,72.0,76.0,76.0,1578320920
210,tiksi,RU,71.64,128.87,250.49,85.0,83.0,83.0,1578320921
211,nuuk,GL,64.17,-51.74,255.15,84.0,75.0,75.0,1578320921
212,esperance,AU,-33.86,121.89,293.15,72.0,75.0,75.0,1578320625
213,vincennes,FR,48.85,2.44,281.48,70.0,5.0,5.0,1578320889
214,simpang,ID,4.36,96.17,296.58,96.0,90.0,90.0,1578320921
215,eureka,US,40.8,-124.16,277.59,86.0,1.0,1.0,1578320914
216,prainha,BR,-1.8,-53.48,305.55,50.0,98.0,98.0,1578320921
217,severo-kurilsk,RU,50.68,156.12,269.7,90.0,100.0,100.0,1578320699
218,lashio,MM,22.93,97.75,286.05,96.0,15.0,15.0,1578320921
219,nikolskoye,RU,59.7,30.79,273.71,91.0,90.0,90.0,1578320921
220,laguna de perlas,NI,12.34,-83.67,296.15,94.0,75.0,75.0,1578320921
221,ambilobe,MG,-13.19,49.05,300.39,82.0,100.0,100.0,1578320921
222,bambous virieux,MU,-20.34,57.76,301.15,83.0,75.0,75.0,1578320700
223,loukhi,RU,66.08,33.04,270.51,94.0,95.0,95.0,1578320700
224,nicosia,,,,,,,,
225,angoram,PG,-4.06,144.07,297.54,98.0,90.0,90.0,1578320700
226,portland,US,43.66,-70.25,269.26,67.0,90.0,90.0,1578320922
227,eibar,ES,43.18,-2.47,286.15,58.0,0.0,0.0,1578320922
228,dicabisagan,PH,17.08,122.42,296.88,83.0,91.0,91.0,1578320922
229,iqaluit,CA,63.75,-68.52,248.15,62.0,90.0,90.0,1578320922
230,barrhead,CA,54.12,-114.4,268.15,67.0,90.0,90.0,1578320922
231,formoso do araguaia,,,,,,,,
232,fort nelson,CA,58.81,-122.69,241.15,74.0,40.0,40.0,1578320920
233,hasaki,JP,35.73,140.83,279.15,56.0,75.0,75.0,1578320922
234,lalmohan,BD,22.34,90.74,290.97,49.0,0.0,0.0,1578320922
235,sabang,PH,13.8,121.11,299.26,82.0,10.0,10.0,1578320701
236,shimoda,JP,34.7,138.93,282.59,68.0,69.0,69.0,1578320922
237,arlit,NE,18.74,7.39,298.5,10.0,0.0,0.0,1578320912
238,nishihara,JP,35.74,139.53,282.59,56.0,75.0,75.0,1578320922
239,emerald,AU,-23.53,148.16,299.15,69.0,54.0,54.0,1578320923
240,socorro,US,31.65,-106.3,277.15,74.0,1.0,1.0,1578320923
241,puerto del rosario,ES,28.5,-13.86,294.15,64.0,20.0,20.0,1578320923
242,mangrol,IN,25.33,76.51,291.67,38.0,100.0,100.0,1578320923
243,yershov,,,,,,,,
244,cururupu,BR,-1.82,-44.87,301.16,83.0,0.0,0.0,1578320923
245,petropavlovsk-kamchatskiy,RU,53.05,158.65,271.15,58.0,100.0,100.0,1578320923
246,adrar,DZ,27.87,-0.29,290.15,23.0,0.0,0.0,1578320923
247,dwarka,IN,28.58,77.04,288.15,76.0,75.0,75.0,1578320923
248,sohag,EG,26.55,31.7,291.15,34.0,0.0,0.0,1578320923
249,port macquarie,AU,-31.43,152.91,297.04,88.0,90.0,90.0,1578320923
250,camuy,PR,18.48,-66.84,300.93,81.0,90.0,90.0,1578320923
251,san patricio,PY,-26.98,-56.83,311.1,21.0,34.0,34.0,1578320822
252,san cristobal,HN,14.68,-86.92,290.14,82.0,98.0,98.0,1578320923
253,lebu,ET,8.96,38.73,294.15,43.0,34.0,34.0,1578320924
254,pevek,RU,69.7,170.27,250.39,79.0,0.0,0.0,1578320808
255,lorengau,PG,-2.02,147.27,302.24,76.0,11.0,11.0,1578320924
256,kerema,PG,-7.96,145.78,297.4,94.0,100.0,100.0,1578320702
257,kollo,NE,13.34,2.32,301.15,13.0,83.0,83.0,1578320924
258,mogadishu,SO,2.04,45.34,302.15,70.0,40.0,40.0,1578320919
259,tabiauea,,,,,,,,
260,daura,NG,13.04,8.32,301.32,17.0,23.0,23.0,1578320924
261,san ignacio,PE,-5.15,-79.0,297.72,50.0,11.0,11.0,1578320924
262,rocha,UY,-34.48,-54.34,301.97,38.0,63.0,63.0,1578320801
263,camacha,PT,33.08,-16.33,292.15,63.0,20.0,20.0,1578320703
264,braniewo,PL,54.38,19.82,276.35,89.0,100.0,100.0,1578320924
265,quezon,PH,16.49,121.26,292.3,94.0,29.0,29.0,1578320703
266,fortuna,US,40.6,-124.16,277.59,100.0,75.0,75.0,1578320924
267,faya,SA,18.39,42.45,292.15,68.0,20.0,20.0,1578320863
268,perth,AU,-31.95,115.86,296.15,46.0,0.0,0.0,1578320812
269,sorland,NO,67.67,12.69,279.15,93.0,40.0,40.0,1578320925
270,axim,GH,4.87,-2.24,308.15,24.0,35.0,35.0,1578320703
271,ribeira grande,PT,38.52,-28.7,291.15,93.0,40.0,40.0,1578320703
272,yiyang,CN,28.59,112.35,279.25,88.0,100.0,100.0,1578320925
273,husavik,CA,50.56,-96.99,259.26,94.0,13.0,13.0,1578320704
274,dingle,PH,11.0,122.67,296.34,94.0,96.0,96.0,1578320925
275,aflu,,,,,,,,
276,tabuk,PH,17.41,121.44,294.65,90.0,95.0,95.0,1578320925
277,pekan,MY,3.49,103.39,297.15,88.0,20.0,20.0,1578320925
278,sitka,US,37.17,-99.65,267.04,83.0,0.0,0.0,1578320925
279,olinda,AU,-37.84,145.39,289.82,93.0,90.0,90.0,1578320704
280,kaitangata,NZ,-46.28,169.85,283.71,84.0,100.0,100.0,1578320926
281,barentsburg,,,,,,,,
282,pyu,MM,18.48,96.43,296.33,66.0,31.0,31.0,1578320926
283,thunder bay,CA,48.41,-89.26,265.15,72.0,75.0,75.0,1578320704
284,manaure,CO,11.78,-72.45,302.15,62.0,20.0,20.0,1578320704
285,turayf,SA,31.68,38.65,287.15,41.0,0.0,0.0,1578320705
286,singaparna,ID,-7.35,108.11,295.39,92.0,74.0,74.0,1578320705
287,takoradi,GH,4.89,-1.75,301.99,45.0,0.0,0.0,1578320705
288,savannah bight,HN,16.45,-85.85,298.32,86.0,81.0,81.0,1578320926
289,majene,ID,-3.54,118.97,298.8,78.0,99.0,99.0,1578320705
290,kautokeino,NO,69.01,23.04,264.26,84.0,21.0,21.0,1578320926
291,kidal,ML,18.44,1.41,297.13,11.0,0.0,0.0,1578320926
292,kirakira,SB,-10.46,161.92,299.46,89.0,100.0,100.0,1578320705
293,lavrentiya,RU,65.58,-170.99,251.05,77.0,100.0,100.0,1578320705
294,ilhabela,BR,-23.78,-45.36,298.3,84.0,0.0,0.0,1578320926
295,batemans bay,AU,-35.71,150.18,292.04,86.0,100.0,100.0,1578320926
296,nome,US,30.04,-94.42,289.82,93.0,1.0,1.0,1578320927
297,waipawa,NZ,-39.94,176.59,284.82,76.0,41.0,41.0,1578320927
298,vrangel,RU,42.73,133.08,274.04,69.0,100.0,100.0,1578320706
299,tucupita,VE,9.06,-62.05,302.7,57.0,0.0,0.0,1578320927
300,palabuhanratu,,,,,,,,
301,palmerston,AU,-12.49,130.99,299.15,94.0,90.0,90.0,1578320927
302,starosubkhangulovo,RU,53.1,57.43,267.13,97.0,100.0,100.0,1578320706
303,verkhniye kigi,RU,55.41,58.6,267.25,92.0,100.0,100.0,1578320927
304,jacareacanga,BR,-6.22,-57.76,300.15,88.0,82.0,82.0,1578320927
305,vilhena,BR,-12.74,-60.15,298.15,83.0,75.0,75.0,1578320927
306,ngatea,NZ,-37.27,175.5,288.71,67.0,7.0,7.0,1578320706
307,broome,GB,52.47,1.45,281.48,75.0,75.0,75.0,1578320706
308,taoudenni,ML,22.68,-3.98,295.68,9.0,97.0,97.0,1578320905
309,piotrkow trybunalski,PL,51.41,19.7,274.82,82.0,90.0,90.0,1578320927
310,muleba,TZ,-1.84,31.66,296.15,73.0,75.0,75.0,1578320707
311,butterworth,MY,5.4,100.37,302.15,65.0,20.0,20.0,1578320928
312,tigil,RU,57.8,158.67,257.09,76.0,0.0,0.0,1578320707
313,maltahohe,NA,-24.83,16.98,301.37,30.0,97.0,97.0,1578320928
314,mayor pablo lagerenza,PY,-19.93,-60.77,305.88,44.0,73.0,73.0,1578320707
315,umm lajj,SA,25.02,37.27,288.84,50.0,0.0,0.0,1578320707
316,ketchikan,US,55.34,-131.65,273.15,92.0,75.0,75.0,1578320928
317,balykshi,,,,,,,,
318,bend,US,44.06,-121.32,277.15,74.0,20.0,20.0,1578320928
319,norden,DE,53.59,7.21,279.26,93.0,75.0,75.0,1578320928
320,kavaratti,IN,10.57,72.64,300.56,71.0,59.0,59.0,1578320707
321,clyde river,CA,70.47,-68.59,237.15,59.0,75.0,75.0,1578320708
322,zyryanka,RU,65.73,150.89,245.42,92.0,0.0,0.0,1578320708
323,soyo,AO,-6.13,12.37,305.15,66.0,20.0,20.0,1578320928
324,puerto carreno,CO,6.19,-67.49,302.15,70.0,0.0,0.0,1578320928
325,sao felix do xingu,BR,-6.64,-51.99,296.29,97.0,100.0,100.0,1578320929
326,cuiluan,CN,47.72,128.65,262.56,85.0,100.0,100.0,1578320929
327,elbistan,TR,38.2,37.19,271.51,97.0,100.0,100.0,1578320929
328,tumannyy,,,,,,,,
329,damghan,IR,36.17,54.34,278.63,49.0,1.0,1.0,1578320708
330,itaituba,BR,-4.26,-55.99,303.15,74.0,40.0,40.0,1578320929
331,san juan,AR,-31.54,-68.53,298.17,18.0,27.0,27.0,1578320929
332,chanika,MW,-12.93,34.19,297.2,92.0,100.0,100.0,1578320929
333,hay river,CA,60.82,-115.79,248.15,75.0,90.0,90.0,1578320929
334,trairi,BR,-3.28,-39.27,304.12,56.0,52.0,52.0,1578320709
335,maniitsoq,GL,65.42,-52.9,254.19,92.0,100.0,100.0,1578320929
336,faanui,PF,-16.48,-151.75,300.42,80.0,6.0,6.0,1578320929
337,hami,CN,42.84,93.51,266.44,49.0,37.0,37.0,1578320929
338,alice springs,AU,-23.7,133.88,297.15,50.0,90.0,90.0,1578320930
339,coquimbo,CL,-29.95,-71.34,292.15,72.0,0.0,0.0,1578320930
340,lazaro cardenas,MX,28.39,-105.62,277.59,68.0,40.0,40.0,1578320930
341,lagoa,PT,37.14,-8.45,292.04,67.0,0.0,0.0,1578320930
342,jonuta,MX,18.08,-92.13,292.15,93.0,90.0,90.0,1578320709
343,tessalit,ML,20.2,1.01,296.92,9.0,38.0,38.0,1578320930
344,tsihombe,,,,,,,,
345,mafinga,,,,,,,,
346,riohacha,CO,11.54,-72.91,302.15,62.0,20.0,20.0,1578320930
347,xapuri,BR,-10.65,-68.5,302.15,79.0,40.0,40.0,1578320710
348,plettenberg bay,ZA,-34.05,23.37,291.85,87.0,100.0,100.0,1578320930
349,guerrero negro,MX,27.97,-114.04,286.26,62.0,0.0,0.0,1578320930
350,kota kinabalu,MY,5.98,116.07,301.15,74.0,75.0,75.0,1578320710
351,presidencia roque saenz pena,AR,-26.79,-60.44,300.56,51.0,100.0,100.0,1578320930
352,vestbygda,,,,,,,,
353,impfondo,CD,1.62,18.06,310.13,20.0,30.0,30.0,1578320931
354,douala,CM,4.04,9.71,305.15,59.0,40.0,40.0,1578320931
355,amazar,RU,53.86,120.88,249.55,95.0,0.0,0.0,1578320931
356,kozluk,TR,38.17,41.5,282.15,66.0,75.0,75.0,1578320931
357,bernalillo,US,35.3,-106.55,273.71,63.0,1.0,1.0,1578320710
358,oussouye,SN,12.49,-16.54,303.15,23.0,1.0,1.0,1578320931
359,kerman,IR,30.29,57.06,280.15,39.0,0.0,0.0,1578320931
360,north bend,US,43.41,-124.22,283.15,87.0,90.0,90.0,1578320709
361,geresk,,,,,,,,
362,melita,CA,49.27,-100.98,265.93,86.0,0.0,0.0,1578320931
363,copiapo,CL,-27.37,-70.33,295.15,53.0,75.0,75.0,1578320931
364,hope,US,33.67,-93.59,279.26,80.0,1.0,1.0,1578320711
365,banda aceh,ID,5.56,95.32,295.58,93.0,3.0,3.0,1578320912
366,tilichiki,RU,60.47,166.1,254.56,96.0,100.0,100.0,1578320932
367,yeppoon,AU,-23.13,150.74,297.15,88.0,40.0,40.0,1578320711
