,City,Country,Latitude,Longitude,Max Temperature(F),Humidity,Cloudiness,Wind Speed(mph),Date
131,olafsvik,,,,,,,,
132,hutchinson,US,38.06,-97.93,278.15,74,90,3.1,1578327501
133,berbera,,,,,,,,
134,niltepec,MX,16.57,-94.62,297.03,53,0,3.22,1578327502
135,tuatapere,NZ,-46.13,167.69,282.59,93,100,3.13,1578327502
136,sakhnovshchyna,UA,49.15,35.87,271.4,88,2,3.6,1578327502
137,puerto suarez,BO,-18.96,-57.8,306.15,66,75,6.2,1578327502
138,temaraia,,,,,,,,
139,khatanga,RU,71.98,102.47,259.71,86,88,5.96,1578327237
140,constantine,DZ,36.36,6.61,285.15,54,20,1.22,1578327502
141,provideniya,RU,64.42,-173.23,250.17,84,100,2.03,1578327315
142,ribeira grande,PT,38.52,-28.7,291.15,93,40,6.2,1578327502
143,tongchuan,CN,34.9,108.95,275.15,100,90,2,1578327502
144,saint-louis,SN,16.03,-16.5,301.15,12,58,5.1,1578327502
145,chumikan,RU,54.72,135.31,255.14,83,0,1.86,1578327503
146,phuket,TH,7.89,98.4,298.15,94,40,1,1578327503
147,pitimbu,BR,-7.47,-34.81,305.15,40,40,5.1,1578327503
148,alice springs,AU,-23.7,133.88,297.15,50,100,2.1,1578327503
149,upernavik,GL,72.79,-56.15,246.91,99,100,5.73,1578327503
150,paytug,,,,,,,,
151,aksu,KZ,52.04,76.93,264.15,100,90,1,1578327503
152,montepuez,MZ,-13.13,39,299.43,89,100,1.67,1578327503
153,georgetown,GY,6.8,-58.16,302.15,66,40,4.1,1578327503
154,dingle,PH,11,122.67,296.34,94,96,5.08,1578327503
155,tsihombe,,,,,,,,
156,attawapiskat,,,,,,,,
157,qandala,SO,11.47,49.87,297.93,77,30,2.64,1578327504
158,kindu,CD,-2.95,25.92,301.51,70,51,1.19,1578327504
159,pevek,RU,69.7,170.27,250.39,79,0,2.18,1578327259
160,ampanihy,MG,-24.69,44.75,304.03,48,67,6.87,1578327504
161,mazagao,BR,-0.12,-51.29,302.15,89,75,3.1,1578327504
162,souillac,FR,45.6,-0.6,279.15,93,90,2.6,1578327504
163,shimoda,JP,34.7,138.93,282.04,66,69,0.89,1578327247
164,reefton,,,,,,,,
165,paredon,BO,-18.93,-65.16,292.15,34,20,3.1,1578327504
166,clyde river,CA,70.47,-68.59,239.15,66,75,7.2,1578327504
167,buluang,PH,10.47,123.98,300.15,78,90,3.6,1578327504
168,harrisonville,US,38.65,-94.35,276.15,69,75,3.1,1578327227
169,dongsheng,CN,29.72,112.52,278.13,93,100,5.58,1578327505
170,burgos,ES,42.34,-3.7,277.15,86,20,3.1,1578327402
171,kirakira,SB,-10.46,161.92,299.46,89,100,3.91,1578327505
172,kavieng,PG,-2.57,150.8,302.5,75,18,5.58,1578327505
173,ofunato,JP,39.11,141.75,276.88,58,100,3.77,1578327505
174,sitka,US,37.17,-99.65,273.15,72,0,2.68,1578327505
175,hasaki,JP,35.73,140.83,278.15,60,75,4.6,1578327505
176,agadez,NE,16.97,7.99,297.15,15,46,8.2,1578327505
177,harare,ZW,-17.83,31.05,303.15,30,75,2.1,1578327505
178,tungkang,,,,,,,,
179,yaan,NG,7.38,8.57,309.64,16,99,2.76,1578327505
180,mar del plata,AR,-46.43,-67.52,291.99,33,47,4.27,1578327506
181,henties bay,NA,-22.12,14.28,291.48,87,5,0.45,1578327289
182,sentyabrskiy,,,,,,,,
183,matara,BI,-3.48,29.48,292.04,90,96,1.53,1578327506
184,rizhao,CN,35.43,119.46,279.65,93,100,4.19,1578327506
185,conde,BR,-11.81,-37.61,300.07,78,100,5.02,1578327506
186,posse,BR,-14.08,-46.36,299.16,82,42,3.86,1578327506
187,mehamn,NO,71.03,27.85,267.15,79,0,5.1,1578327506
188,oistins,BB,13.07,-59.53,303.15,62,75,7.7,1578327335
189,moree,AU,-29.46,149.84,303.15,37,100,7.7,1578327506
190,barceloneta,PR,18.45,-66.54,302.04,73,90,3.6,1578327506
191,sioux lookout,CA,50.1,-91.92,259.15,84,20,3.1,1578327310
192,panguna,PG,-6.32,155.48,295.49,95,77,0.97,1578327506
193,taoudenni,ML,22.68,-3.98,295.68,9,97,2.66,1578327506
194,sakakah,,,,,,,,
195,labuhan,ID,-2.54,115.51,297.22,93,100,0.96,1578327507
196,mabaruma,GY,8.2,-59.78,303.43,52,0,1.34,1578327359
197,ponta do sol,BR,-20.63,-46,298.75,73,63,2.45,1578327507
198,port hardy,CA,50.7,-127.42,277.15,86,90,7.7,1578327507
199,saskylakh,RU,71.97,114.09,252.55,96,100,3.15,1578327507
200,ponta delgada,PT,37.73,-25.67,292.15,88,75,6.2,1578327395
201,guarulhos,BR,-23.44,-46.52,302.59,54,75,6.7,1578327507
202,itarema,BR,-2.92,-39.92,305.65,50,51,5.66,1578327507
203,kavaratti,IN,10.57,72.64,300.56,71,59,2.3,1578327507
204,tumannyy,,,,,,,,
205,orcopampa,PE,-15.27,-72.34,278.36,68,76,2.36,1578327507
206,port moresby,PG,-9.47,147.16,297.15,100,90,4.1,1578327260
207,avera,US,33.19,-82.53,287.04,47,1,2.1,1578327508
208,kochubey,RU,44.39,46.54,275.56,81,0,4.27,1578327508
209,lodeynoye pole,RU,60.73,33.55,270.51,93,99,3.57,1578327508
210,chambersburg,US,39.94,-77.66,282.04,45,75,9.8,1578327508
211,bengkulu,,,,,,,,
212,cacu,BR,-18.56,-51.13,301.45,67,5,3.6,1578327508
213,westport,US,41.14,-73.36,277.59,74,90,4.6,1578327488
214,petropavlovsk-kamchatskiy,RU,53.05,158.65,268.15,73,100,3,1578327508
215,tawkar,,,,,,,,
216,gurgan,,,,,,,,
217,laguna,BZ,16.17,-88.94,295.15,78,90,2.1,1578327508
218,port lincoln,AU,-34.72,135.86,290.26,69,0,5.92,1578327508
219,tarudant,,,,,,,,
220,pacific grove,US,36.62,-121.92,280.93,81,1,4.1,1578327509
221,chongqing,CN,29.56,106.55,282.15,81,90,4,1578327423
222,saint-joseph,FR,43.56,6.97,287.15,76,90,1.5,1578327509
223,srandakan,ID,-7.94,110.25,298.16,86,100,1.54,1578327509
224,krasnoselkup,,,,,,,,
225,biloela,AU,-24.4,150.51,293.82,90,0,2.26,1578327509
226,rolla,US,37.95,-91.77,277.59,64,1,2.6,1578327509
227,ballina,IE,54.11,-9.15,282.04,93,20,4.1,1578327509
228,kuche,,,,,,,,
229,dodge city,US,37.75,-100.02,275.15,64,1,3.85,1578327509
230,torbay,CA,47.66,-52.73,272.15,86,90,10.8,1578327509
231,abancay,PE,-13.64,-72.88,276.15,100,82,3.1,1578327509
232,plock,PL,52.55,19.71,274.15,100,90,3.6,1578327510
233,talnakh,RU,69.49,88.39,260.15,84,40,10,1578327510
234,carlisle,GB,54.89,-2.94,281.48,100,100,9.3,1578327510
235,staryy nadym,RU,65.61,72.68,259.15,88,76,5.26,1578327510
236,vila franca do campo,PT,37.72,-25.43,292.15,88,75,6.2,1578327510
237,broome,GB,52.47,1.45,281.48,75,75,6.2,1578327510
238,novikovo,RU,51.15,37.89,268.67,94,10,2.7,1578327510
239,klichka,RU,50.44,118,259.95,94,100,1.48,1578327510
240,bonthe,SL,7.53,-12.5,303.09,49,0,5.45,1578327510
241,pombas,BR,-15.9,-54.74,300.48,82,100,3.76,1578327510
242,tessalit,ML,20.2,1.01,296.92,9,38,3.13,1578327510
243,vaitape,PF,-16.52,-151.75,300.42,80,6,6.07,1578327510
244,sigli,ID,5.38,95.96,300.9,70,9,5.22,1578327511
245,beringovskiy,RU,63.05,179.32,249.94,83,0,5.92,1578327511
246,alacranes,CU,22.77,-81.57,296.15,56,75,5.7,1578327511
247,nyurba,RU,63.29,118.35,262.38,94,100,3.79,1578327511
248,salalah,OM,17.01,54.1,299.15,74,75,2.6,1578327511
249,gazni,,,,,,,,
250,dauphin,CA,51.15,-100.04,268.15,73,1,6.2,1578327450
251,san diego de los banos,CU,22.65,-83.37,294.07,62,0,3.2,1578327511
252,yabelo,ET,4.89,38.09,298.97,38,100,3.64,1578327511
253,khani,GE,41.96,42.96,284.15,40,56,9.3,1578327511
254,coquimbo,CL,-29.95,-71.34,296.15,53,0,5.7,1578327512
255,verkhnevilyuysk,RU,63.45,120.31,261.89,94,100,3.17,1578327512
256,newtownards,GB,54.59,-5.69,281.48,75,67,6.2,1578327512
257,altagracia de orituco,VE,9.86,-66.38,299.08,60,10,2.03,1578327512
258,ilhabela,BR,-23.78,-45.36,298.3,84,0,3.69,1578327512
259,grand river south east,,,,,,,,
260,launceston,AU,-41.43,147.14,288.71,82,90,3.6,1578327419
261,binga,ZW,-17.62,27.34,303.08,61,66,3.46,1578327512
262,aswan,EG,24.09,32.9,289.15,26,0,2.1,1578327512
263,jalu,LY,29.03,21.55,287.29,42,97,9.84,1578327512
264,atar,MR,20.52,-13.05,298.15,14,68,8.2,1578327513
265,amderma,,,,,,,,
266,kautokeino,NO,69.01,23.04,264.26,84,21,1.04,1578327513
267,shingu,JP,33.72,135.99,282.02,56,2,2.61,1578327513
268,chabahar,IR,25.29,60.65,296.62,71,31,5.33,1578327513
269,providencia,CO,1.24,-77.6,294.15,73,40,3.1,1578327513
270,castro,CL,-42.48,-73.76,286.15,76,90,4.1,1578327513
271,nikolskoye,RU,59.7,30.79,274.15,86,90,4,1578327513
272,hirna,ET,9.22,41.1,291.69,68,47,2.7,1578327513
273,geraldton,CA,49.72,-86.95,260.15,71,90,4.1,1578327513
274,pishin,PK,30.58,67,277.39,94,52,1.34,1578327514
275,ostrovnoy,RU,68.05,39.51,265.36,92,100,6.48,1578327514
276,arraial do cabo,BR,-22.97,-42.02,306.15,70,40,6.2,1578327514
277,navahrudak,BY,53.59,25.82,272.48,92,91,5.33,1578327514
278,raudeberg,NO,61.99,5.14,284.26,81,75,18,1578327514
279,pechenga,RU,58.89,41.46,264.53,96,80,2.58,1578327514
280,redondo,PT,38.65,-7.55,287.15,62,0,1.5,1578327514
281,karpogory,RU,64,44.44,263.13,88,100,3.21,1578327514
282,ancud,CL,-41.87,-73.83,286.15,76,90,4.1,1578327514
283,omboue,GA,-1.57,9.26,302.55,73,100,2.54,1578327514
284,aden,YE,12.79,45.03,299.38,69,52,3.36,1578327377
285,sokna,NO,60.24,9.92,277.59,100,75,2.6,1578327514
286,port-cartier,CA,50.03,-66.88,259.15,46,20,1.48,1578327515
287,high prairie,CA,55.43,-116.48,250.95,96,30,1.68,1578327384
288,boca del monte,GT,14.55,-90.52,292.15,63,20,8.2,1578327515
289,kismayo,,,,,,,,
290,ericeira,PT,38.96,-9.42,287.59,76,37,2.6,1578327515
291,wattegama,LK,7.35,80.68,295.34,89,63,1.69,1578327515
292,grand gaube,MU,-20.01,57.66,300.15,88,75,1,1578327515
293,muzaffarabad,PK,34.37,73.47,272.74,98,100,0.76,1578327515
294,magaria,NE,13,8.91,301.68,16,29,5.13,1578327425
295,scottsburgh,,,,,,,,
296,saint anthony,US,43.97,-111.68,269.15,85,90,0.2,1578327515
297,katobu,ID,-4.94,122.53,297.67,94,100,1.88,1578327516
298,dhidhdhoo,MV,6.88,73.1,301.29,79,0,6.87,1578327516
299,luderitz,NA,-26.65,15.16,297.15,64,57,12.9,1578327516
300,arman,RU,59.7,150.17,262.94,70,0,3.09,1578327516
301,okoneshnikovo,RU,54.84,75.08,263.79,96,87,3.36,1578327516
302,shaunavon,CA,49.65,-108.41,266.74,78,85,5.43,1578327516
303,blackwater,GB,51.33,-0.78,282.59,93,40,5.7,1578327516
304,severo-kurilsk,RU,50.68,156.12,269.7,90,100,14.46,1578327516
305,khartoum,SD,15.59,32.54,296.15,11,0,5.1,1578327516
306,dolinsk,RU,47.32,142.8,266.15,85,40,3,1578327517
307,lompoc,US,34.64,-120.46,287.04,47,1,7.2,1578327517
308,hualmay,PE,-11.1,-77.61,298.79,56,38,3.93,1578327517
309,puertollano,ES,38.69,-4.11,287.04,58,0,1.69,1578327517
310,nabire,ID,-3.36,135.5,296.89,98,100,0.85,1578327517
311,jacksonville,US,30.33,-81.66,289.26,38,1,3.1,1578327274
312,prado,CO,3.75,-74.93,297.63,72,55,3.09,1578327517
313,upata,VE,8.02,-62.41,301.93,47,0,2.38,1578327280
314,vestmannaeyjar,IS,63.44,-20.27,277.15,77,40,13.4,1578327405
315,illoqqortoormiut,,,,,,,,
316,kulhudhuffushi,MV,6.62,73.07,301.45,77,68,8.31,1578327283
317,meyungs,,,,,,,,
318,mirnyy,RU,56.57,36.46,269.89,81,100,3.57,1578327517
319,te anau,NZ,-45.41,167.72,280.45,84,100,2.3,1578327335
320,fort-shevchenko,KZ,44.51,50.26,272.95,63,34,3.24,1578327518
321,aklavik,CA,68.22,-135.01,241.15,74,40,2.1,1578327518
322,mayor pablo lagerenza,PY,-19.93,-60.77,305.88,44,73,8.01,1578327518
323,ust-nera,RU,64.57,143.24,239.59,100,100,0.79,1578327518
324,praia da vitoria,PT,38.73,-27.07,292.15,72,20,9.16,1578327314
325,isangel,VU,-19.55,169.27,298.15,78,97,3.6,1578327518
326,samarai,PG,-10.62,150.67,296.69,93,100,2.33,1578327518
327,mitzic,GA,0.78,11.55,302.3,54,100,0.95,1578327518
328,balkanabat,TM,39.51,54.36,277.64,67,64,1.87,1578327518
329,sechura,PE,-5.56,-80.82,295.21,85,26,2.45,1578327518
330,hithadhoo,MV,-0.6,73.08,301.81,73,100,4.65,1578327519
331,san andres,PH,13.32,122.68,297.18,88,48,4.66,1578327395
332,rio grande,BR,-32.03,-52.1,310.15,35,40,5.1,1578327519
333,caxito,BR,-22.65,-42.51,306.15,63,20,4.6,1578327519
334,xiamen,CN,24.46,118.07,290.15,93,34,1,1578327519
335,eureka,US,40.8,-124.16,277.04,100,40,4.6,1578327519
336,qingdao,CN,36.09,120.35,279.26,100,90,5,1578327519
337,talaya,RU,55.79,84.89,267.04,85,75,4,1578327519
338,amposta,ES,40.71,0.58,286.15,71,20,2.6,1578327519
339,sorvag,,,,,,,,
340,faanui,PF,-16.48,-151.75,300.42,80,6,6.07,1578327520
341,serov,RU,59.61,60.57,263.96,84,0,3.61,1578327520
342,lorengau,PG,-2.02,147.27,302.24,76,11,4.96,1578327520
343,sola,TZ,-3.17,33.8,295.31,79,86,3.49,1578327520
344,hobyo,SO,5.35,48.53,300.15,73,5,6.95,1578327520
345,fukuma,JP,33.77,130.47,287.15,62,75,8.2,1578327520
346,palanpur,IN,24.17,72.44,292.51,43,80,0.63,1578327520
347,alofi,NU,-19.06,-169.92,297.15,100,75,2.1,1578327521
348,sumenep,ID,-7.02,113.87,300.26,82,100,6.14,1578327521
349,sao paulo de olivenca,BR,-3.38,-68.87,304.44,56,22,2.33,1578327521
350,joshimath,IN,30.57,79.57,271.37,97,100,0.74,1578327521
351,tambovka,RU,47.32,47.38,271.43,70,45,2.71,1578327521
352,urusha,RU,54.05,122.9,246.84,99,19,0.38,1578327521
353,kota kinabalu,MY,5.98,116.07,300.15,83,75,1.5,1578327521
354,kilindoni,TZ,-7.91,39.67,301.57,77,66,5.16,1578327521
355,karratha,AU,-20.74,116.85,302.74,74,67,6.18,1578327521
356,nome,US,30.04,-94.42,293.15,82,1,2.6,1578327521
357,padang,ID,-0.92,100.36,293.73,92,100,1.59,1578327521
358,clarence town,AU,-32.59,151.78,294.82,94,90,0.7,1578327522
359,halalo,,,,,,,,
360,svarstad,NO,59.4,9.97,279.82,100,75,5.1,1578327522
361,timberlake,US,32.26,-81.31,288.15,47,1,4.1,1578327522
362,bathsheba,BB,13.22,-59.52,303.15,58,20,8.2,1578327522
363,killarney,AU,-28.34,152.3,291.48,90,87,1.34,1578327316
364,ilulissat,GL,69.22,-51.1,255.15,77,90,3.6,1578327522
365,bilma,NE,18.69,12.92,294.5,15,7,3.41,1578327522
366,margate,AU,-43.03,147.26,288.15,82,100,2.6,1578327522
367,iqaluit,CA,63.75,-68.52,248.15,62,75,4.1,1578327522
368,cotonou,BJ,6.37,2.43,305.15,43,19,2.1,1578327523
369,baruun-urt,MN,46.68,113.28,257.57,77,0,3.12,1578327523
370,merauke,ID,-8.49,140.4,297.47,95,83,1.96,1578327293
371,asau,,,,,,,,
372,burns lake,CA,54.23,-125.76,258.47,96,24,0.8,1578327462
373,poya,NC,-21.35,165.16,297.95,76,50,3.45,1578327523
374,brewster,US,41.76,-70.08,275.37,47,90,1.5,1578327523
375,satipo,PE,-11.26,-74.64,293,90,82,1.75,1578327523
376,guilin,CN,25.28,110.29,294.15,73,90,3,1578327523
377,najran,SA,17.54,44.22,292.15,52,40,3.1,1578327523
378,belyy yar,RU,53.6,91.39,258.15,92,96,0.69,1578327523
379,methoni,GR,36.82,21.7,283.15,36,75,1.5,1578327523
380,mujiayingzi,CN,42.12,118.78,266.61,66,100,1.76,1578327523
381,barra do corda,BR,-5.5,-45.25,301.5,84,59,1.28,1578327261
382,san patricio,PY,-26.98,-56.83,311.1,21,34,2.22,1578327524
383,yulara,AU,-25.24,130.99,300.15,47,90,4.6,1578327524
384,ketchikan,US,55.34,-131.65,272.15,92,90,2.6,1578327303
385,sao joao da barra,BR,-21.64,-41.05,306.15,55,40,4.42,1578327524
386,nauta,PE,-4.51,-73.58,303.78,51,0,2.38,1578327524
387,nizhneyansk,,,,,,,,
388,zolotinka,,,,,,,,
389,san luis,AR,-33.3,-66.34,296.84,24,18,4.27,1578327524
390,urzhum,RU,57.11,50,269.54,89,100,0.65,1578327524
391,baijiantan,CN,45.63,85.18,261.5,89,0,1.67,1578327524
392,antalaha,MG,-14.9,50.28,300.99,81,100,7.6,1578327524
393,sagone,FR,42.12,8.7,286.15,76,75,3.6,1578327524
394,codajas,BR,-3.84,-62.06,307.7,42,31,2.35,1578327510
395,utiroa,,,,,,,,
396,yumen,CN,40.29,97.04,266.8,52,100,6.22,1578327525
397,dunedin,NZ,-45.87,170.5,284.5,82,75,14.26,1578327454
398,kahului,US,20.89,-156.47,296.15,73,1,4.1,1578327525
399,gizo,IL,31.8,34.94,288.15,51,0,3.1,1578327287
400,terra santa,BR,-2.1,-56.49,306.29,47,100,2.4,1578327525
401,sampit,ID,-2.54,112.95,298.2,93,100,0.77,1578327525
402,esna,RO,45.2,27.57,273.72,68,96,9.88,1578327525
403,grindavik,IS,63.84,-22.43,275.15,83,75,13.9,1578327279
404,khorixas,NA,-20.37,14.96,301.96,36,50,6.57,1578327525
405,beloha,MG,-25.17,45.06,301.86,57,19,7.98,1578327525
406,mendeleyevo,RU,56.04,37.23,272.04,68,90,4,1578327526
407,nampula,MZ,-15.12,39.26,299.15,78,75,2.1,1578327526
408,berdigestyakh,RU,62.1,126.7,258.48,97,93,1.6,1578327526
409,nador,MA,35.17,-2.93,289.15,63,75,2.6,1578327526
410,vitim,RU,59.44,112.57,264.43,93,100,5.61,1578327526
411,huarmey,PE,-10.07,-78.15,300.04,51,20,3.24,1578327526
412,gornopravdinsk,RU,60.06,69.92,268.04,93,100,4.03,1578327526
